Epoch: 15, PSNR: 27.8400, best_epoch: 15, Best_PSNR: 27.8400
Epoch: 20, PSNR: 28.4467, best_epoch: 20, Best_PSNR: 28.4467
Epoch: 25, PSNR: 28.6543, best_epoch: 25, Best_PSNR: 28.6543
Epoch: 30, PSNR: 29.9982, best_epoch: 30, Best_PSNR: 29.9982
Epoch: 35, PSNR: 30.2020, best_epoch: 35, Best_PSNR: 30.2020
Epoch: 40, PSNR: 30.1337, best_epoch: 35, Best_PSNR: 30.2020
Epoch: 45, PSNR: 30.7072, best_epoch: 45, Best_PSNR: 30.7072
Epoch: 50, PSNR: 30.3711, best_epoch: 45, Best_PSNR: 30.7072
Epoch: 55, PSNR: 30.8136, best_epoch: 55, Best_PSNR: 30.8136
Epoch: 60, PSNR: 30.9770, best_epoch: 60, Best_PSNR: 30.9770
Epoch: 65, PSNR: 31.0168, best_epoch: 65, Best_PSNR: 31.0168
Epoch: 70, PSNR: 30.7870, best_epoch: 65, Best_PSNR: 31.0168
Epoch: 75, PSNR: 30.6621, best_epoch: 65, Best_PSNR: 31.0168
Epoch: 80, PSNR: 31.7874, best_epoch: 80, Best_PSNR: 31.7874
Epoch: 85, PSNR: 28.9943, best_epoch: 80, Best_PSNR: 31.7874
Epoch: 90, PSNR: 31.7271, best_epoch: 80, Best_PSNR: 31.7874
Epoch: 95, PSNR: 31.5231, best_epoch: 80, Best_PSNR: 31.7874
Epoch: 100, PSNR: 31.8275, best_epoch: 100, Best_PSNR: 31.8275
Epoch: 105, PSNR: 31.9232, best_epoch: 105, Best_PSNR: 31.9232
Epoch: 110, PSNR: 31.8236, best_epoch: 105, Best_PSNR: 31.9232
Epoch: 115, PSNR: 31.6297, best_epoch: 105, Best_PSNR: 31.9232
Epoch: 120, PSNR: 32.0177, best_epoch: 120, Best_PSNR: 32.0177
Epoch: 125, PSNR: 32.0750, best_epoch: 125, Best_PSNR: 32.0750
Epoch: 130, PSNR: 31.8702, best_epoch: 125, Best_PSNR: 32.0750
Epoch: 135, PSNR: 31.6138, best_epoch: 125, Best_PSNR: 32.0750
Epoch: 140, PSNR: 31.8273, best_epoch: 125, Best_PSNR: 32.0750
